epoch: 3260, e_loss: 417.80, d_loss: 24.55
epoch: 3270, e_loss: 433.33, d_loss: 24.55
epoch: 3280, e_loss: 429.11, d_loss: 24.55
epoch: 3290, e_loss: 418.74, d_loss: 24.55
epoch: 3300, e_loss: 410.93, d_loss: 24.55
epoch: 3310, e_loss: 445.24, d_loss: 24.55
epoch: 3320, e_loss: 413.33, d_loss: 24.55
epoch: 3330, e_loss: 409.89, d_loss: 24.55
epoch: 3340, e_loss: 420.71, d_loss: 24.55
epoch: 3350, e_loss: 441.60, d_loss: 24.56
epoch: 3360, e_loss: 426.03, d_loss: 24.56
epoch: 3370, e_loss: 437.32, d_loss: 24.56
epoch: 3380, e_loss: 411.18, d_loss: 24.56
epoch: 3390, e_loss: 438.62, d_loss: 24.56
epoch: 3400, e_loss: 423.79, d_loss: 24.56
epoch: 3410, e_loss: 444.13, d_loss: 24.56
epoch: 3420, e_loss: 427.09, d_loss: 24.56
epoch: 3430, e_loss: 438.48, d_loss: 24.56
epoch: 3440, e_loss: 438.87, d_loss: 24.57
epoch: 3450, e_loss: 446.24, d_loss: 24.56
epoch: 3460, e_loss: 427.99, d_loss: 24.57
epoch: 3470, e_loss: 426.42, d_loss: 24.57
epoch: 3480, e_loss: 447.76, d_loss: 24.57
epoch: 3490, e_loss: 441.91, d_loss: 24.57
epoch: 3500, e_loss: 418.43, d_loss: 24.57
epoch: 3510, e_loss: 445.43, d_loss: 24.57
epoch: 3520, e_loss: 397.99, d_loss: 24.57
epoch: 3530, e_loss: 407.98, d_loss: 24.57
epoch: 3540, e_loss: 421.58, d_loss: 24.57
epoch: 3550, e_loss: 419.00, d_loss: 24.57
epoch: 3560, e_loss: 426.23, d_loss: 24.58
epoch: 3570, e_loss: 416.39, d_loss: 24.58
epoch: 3580, e_loss: 437.63, d_loss: 24.58
epoch: 3590, e_loss: 416.31, d_loss: 24.58
epoch: 3600, e_loss: 441.26, d_loss: 24.58
epoch: 3610, e_loss: 408.16, d_loss: 24.58
epoch: 3620, e_loss: 391.60, d_loss: 24.58
epoch: 3630, e_loss: 447.38, d_loss: 24.58
epoch: 3640, e_loss: 429.12, d_loss: 24.58
epoch: 3650, e_loss: 430.52, d_loss: 24.59
epoch: 3660, e_loss: 430.38, d_loss: 24.59
epoch: 3670, e_loss: 408.93, d_loss: 24.59
epoch: 3680, e_loss: 399.66, d_loss: 24.59
epoch: 3690, e_loss: 418.18, d_loss: 24.59
epoch: 3700, e_loss: 439.26, d_loss: 24.59
epoch: 3710, e_loss: 381.59, d_loss: 24.59
epoch: 3720, e_loss: 441.04, d_loss: 24.59
epoch: 3730, e_loss: 403.26, d_loss: 24.59
epoch: 3740, e_loss: 436.62, d_loss: 24.59
epoch: 3750, e_loss: 431.10, d_loss: 24.60
epoch: 3760, e_loss: 432.94, d_loss: 24.60
epoch: 3770, e_loss: 422.59, d_loss: 24.60
epoch: 3780, e_loss: 423.40, d_loss: 24.60
epoch: 3790, e_loss: 431.75, d_loss: 24.60
epoch: 3800, e_loss: 470.05, d_loss: 24.60
epoch: 3810, e_loss: 425.63, d_loss: 24.60
epoch: 3820, e_loss: 439.53, d_loss: 24.60
epoch: 3830, e_loss: 420.76, d_loss: 24.60
epoch: 3840, e_loss: 452.55, d_loss: 24.60
epoch: 3850, e_loss: 469.90, d_loss: 24.60
epoch: 3860, e_loss: 400.03, d_loss: 24.60
epoch: 3870, e_loss: 398.85, d_loss: 24.61
epoch: 3880, e_loss: 418.07, d_loss: 24.61
epoch: 3890, e_loss: 445.30, d_loss: 24.61
epoch: 3900, e_loss: 432.75, d_loss: 24.61
epoch: 3910, e_loss: 409.39, d_loss: 24.61
epoch: 3920, e_loss: 435.57, d_loss: 24.61
epoch: 3930, e_loss: 458.60, d_loss: 24.61
epoch: 3940, e_loss: 445.67, d_loss: 24.61
epoch: 3950, e_loss: 461.81, d_loss: 24.61
epoch: 3960, e_loss: 418.81, d_loss: 24.61
epoch: 3970, e_loss: 440.78, d_loss: 24.61
epoch: 3980, e_loss: 427.65, d_loss: 24.61
epoch: 3990, e_loss: 449.25, d_loss: 24.61
epoch: 4000, e_loss: 436.87, d_loss: 24.61
epoch: 4010, e_loss: 426.65, d_loss: 24.61
epoch: 4020, e_loss: 448.31, d_loss: 24.61
epoch: 4030, e_loss: 428.87, d_loss: 24.62
epoch: 4040, e_loss: 428.12, d_loss: 24.62
epoch: 4050, e_loss: 443.96, d_loss: 24.62
epoch: 4060, e_loss: 428.71, d_loss: 24.62
epoch: 4070, e_loss: 409.75, d_loss: 24.62
epoch: 4080, e_loss: 465.98, d_loss: 24.62
epoch: 4090, e_loss: 427.41, d_loss: 24.62
epoch: 4100, e_loss: 453.75, d_loss: 24.62
epoch: 4110, e_loss: 447.78, d_loss: 24.62
epoch: 4120, e_loss: 444.95, d_loss: 24.62
epoch: 4130, e_loss: 400.44, d_loss: 24.62
epoch: 4140, e_loss: 428.34, d_loss: 24.62
epoch: 4150, e_loss: 437.48, d_loss: 24.63
epoch: 4160, e_loss: 435.07, d_loss: 24.63
epoch: 4170, e_loss: 434.37, d_loss: 24.63
epoch: 4180, e_loss: 446.65, d_loss: 24.63
epoch: 4190, e_loss: 448.85, d_loss: 24.63
epoch: 4200, e_loss: 404.53, d_loss: 24.63
epoch: 4210, e_loss: 472.59, d_loss: 24.63
epoch: 4220, e_loss: 459.79, d_loss: 24.63
epoch: 4230, e_loss: 421.76, d_loss: 24.63
epoch: 4240, e_loss: 431.76, d_loss: 24.63
epoch: 4250, e_loss: 436.55, d_loss: 24.63
epoch: 4260, e_loss: 440.25, d_loss: 24.64
epoch: 4270, e_loss: 404.22, d_loss: 24.64
epoch: 4280, e_loss: 405.20, d_loss: 24.64
epoch: 4290, e_loss: 456.37, d_loss: 24.64
epoch: 4300, e_loss: 438.01, d_loss: 24.64
epoch: 4310, e_loss: 446.35, d_loss: 24.64
epoch: 4320, e_loss: 454.37, d_loss: 24.64
epoch: 4330, e_loss: 438.27, d_loss: 24.64
